x y radius usage
1.22 0.62 2.6 250
1.22 0.62 2.6 250
12.52 9.09 3.9 0
29.38 9.54 5.2 4
29.38 9.54 5.2 4
29.38 9.54 5.2 4
1.22 0.62 2.6 250
2.69 -17.03 4 -1
7.83 15.36 4 9
-3.36 4.63 3 32
2.72 8.38 3.3 3
0 22.81 4.5 10
-6.24 -12.25 3.7 12
4.73 9.28 3.4 0
-15.73 21.65 4.8 -1
-1.63 -10.29 3.4 23
1.13 7.16 3.2 0
4.5 28.44 5 0
1.22 0.62 2.6 250
16.767 -3.75 3.4 0
16.766 -3.75 3.4 0
18.63 -9.49 4.3 0
5.16 32.619 5.3 -5
1.22 0.62 2.6 250
-7.16 -1.13 3.2 30
-5.72 0 3 6
-4.19 0.66 2.9 21
9.76 7.09 3.6 0
-13.75 42.33 6.3 0
-10.29 -1.63 3.4 27
1.22 0.62 2.6 250
1.22 0.62 2.6 250
19.06 0 4.2 2
-13.41 18.46 4.5 0
-10.29 -1.63 3.4 27
1.22 0.62 2.6 250
-7.16 -1.13 3.2 30
21.7 7.05 4.5 6
1.22 0.62 2.6 250
-8.26 25.45 4.8 0
-37 -5.86 5.7 0
1.22 0.62 2.6 250
-35.22 0 5.5 0
1.22 0.62 2.6 250
-7.16 -1.13 3.2 30
-13.41 -18.46 4.5 8
-3.27 -20.66 4.3 4
-15.42 -11.2 4.2 8
-6.24 12.25 3.7 6
1.22 0.62 2.6 250
14.99 29.43 5.3 1
13.07 25.66 5 0
-3.36 4.63 3 32
-1.13 7.16 3.2 9
1.22 0.62 2.6 250
-3.36 4.63 3 32
17.03 2.69 4 16
-1.13 7.16 3.2 9
0 30.89 5.2 -2
19.06 0 4.2 2
-12.28 37.81 5.9 -1
-15.47 0 3.9 17
1.22 0.62 2.6 250
19.06 0 4.2 2
17.51 17.51 4.6 -2
15.73 21.65 4.8 3
1.22 0.62 2.6 250
2.99 -2.99 2.9 9
1.22 0.62 2.6 250
17.03 2.69 4 16
1.22 0.62 2.6 250
-4.19 0.66 2.9 21
12.52 9.09 3.9 0
-7.16 -1.13 3.2 30
-7.16 -1.13 3.2 30
-5.16 32.619 5.3 1
1.22 0.62 2.6 250
21.7 7.05 4.5 6
11.2 -15.42 4.2 0
1.13 -7.16 3.2 15
3.87 -24.46 4.6 3
13.41 -18.46 4.5 1
-1.63 -10.29 3.4 23
0 22.81 4.5 10
-3.27 20.66 4.3 -1
-9.49 -18.63 4.3 0
-8.38 2.72 3.3 12
-3.77 -1.92 2.9 12
-7.05 -21.7 4.5 -1
26.76 0 4.8 -1
29.43 14.99 5.3 1
7.16 1.13 3.2 24
7.13 5.18 3.3 40
0 5.72 3 12
1.77 5.44 3 0
1.13 -7.16 3.2 15
-37.52 -19.11 6.1 0
1.22 0.62 2.6 250
-41.85 -21.32 6.5 0
-13.41 -18.46 4.5 8
2.99 -2.99 2.9 9
5.89 -18.12 4.2 9
1.22 0.62 2.6 250
12.06 0 3.6 5
0 -2.79 2.8 0
1.22 0.62 2.6 250
12.25 -6.24 3.7 12
-29.43 -14.99 5.3 9
24.46 3.87 4.6 11
20.7 -28.49 5.5 1
12.25 -6.24 3.7 12
1.22 0.62 2.6 250
24.46 3.87 4.6 11
20.66 3.27 4.3 3
1.22 0.62 2.6 250
24.46 3.87 4.6 11
-4.19 0.66 2.9 21
-18.12 5.89 4.2 4
-18.63 9.49 4.3 0
-1.63 -10.29 3.4 23
7.37 -7.37 3.4 3
1.22 0.62 2.6 250
-11.2 15.42 4.2 15
7.13 -5.18 3.3 0
1.22 0.62 2.6 250
0 5.72 3 12
1.22 0.62 2.6 250
1.22 0.62 2.6 250
-7.83 -15.36 4 -1
17.03 2.69 4 16
1.22 0.62 2.6 250
-13.58 2.15 3.7 19
0 -15.47 3.9 6
7.13 5.18 3.3 40
1.22 0.62 2.6 250
-17.51 17.51 4.6 0
1.22 0.62 2.6 250
1.13 -7.16 3.2 15
-7.37 7.37 3.4 8
1.22 0.62 2.6 250
3.29 -6.46 3.2 0
-11.47 3.72 3.6 0
2.72 -8.38 3.3 8
1.22 0.62 2.6 250
17.03 2.69 4 16
13.58 2.15 3.7 0
17.03 2.69 4 16
-4.19 -0.66 2.9 0
1.22 0.62 2.6 250
0 -8.81 3.3 12
-17.03 -2.69 4 0
7.13 5.18 3.3 40
1.22 -0.62 2.6 0
1.22 0.62 2.6 250
1.22 0.62 2.6 250
24.99 18.15 5.2 0
-15.42 -11.2 4.2 8
-18.46 -13.41 4.5 9
-20.36 -20.36 5 -1
1.22 0.62 2.6 250
-17.51 -17.51 4.6 3
-5.13 -5.13 3.2 18
3.72 -11.47 3.6 7
11.24 -22.06 4.6 5
-30.89 0 5.2 0
-19.06 0 4.2 7
-28.44 -4.5 5 8
1.22 0.62 2.6 250
-4.5 28.44 5 13
0 26.76 4.8 0
1.22 0.62 2.6 250
-5.13 -5.13 3.2 18
-32.16 -23.37 5.9 0
3.72 -11.47 3.6 7
2.69 17.03 4 3
4.78 14.72 3.9 2
-23.35 23.35 5.3 -1
1.22 0.62 2.6 250
-6.58 41.59 6.1 1
29.38 9.54 5.2 4
32.619 5.16 5.3 0
29.38 9.54 5.2 4
1.22 0.62 2.6 250
-28.44 -4.5 5 8
4.5 -28.44 5 15
-26.49 -26.49 5.7 -1
-37 5.86 5.7 -1
7.16 1.13 3.2 24
1.22 0.62 2.6 250
30.89 0 5.2 0
25.45 8.26 4.8 1
-2.99 2.99 2.9 30
-29.43 -14.99 5.3 9
-1.92 3.77 2.9 3
-0.66 4.19 2.9 12
-5.13 5.13 3.2 9
-7.83 -15.36 4 -1
-2.69 17.03 4 0
10.29 1.63 3.4 13
10.29 1.63 3.4 13
-4.5 28.44 5 13
0 -15.47 3.9 6
-2.15 13.58 3.7 1
0 15.47 3.9 0
-11.2 15.42 4.2 15
20.66 3.27 4.3 3
-9.54 29.38 5.2 7
0 22.81 4.5 10
1.22 0.62 2.6 250
0 -15.47 3.9 6
-37 5.86 5.7 -1
-32.619 5.16 5.3 -1
-25.45 -8.26 4.8 9
0 -8.81 3.3 12
6.24 -12.25 3.7 0
12.52 -9.09 3.9 0
9.49 -18.63 4.3 0
-7.16 -1.13 3.2 30
-9.72 -9.72 3.7 1
1.22 0.62 2.6 250
-4.19 0.66 2.9 21
-22.81 0 4.5 0
-20.66 3.27 4.3 0
0 -8.81 3.3 12
-17.51 17.51 4.6 0
-14.79 14.79 4.3 0
-24.99 18.15 5.2 5
1.22 0.62 2.6 250
-3.36 -4.63 3 0
-28.49 20.7 5.5 0
-12.52 -9.09 3.9 3
4.5 -28.44 5 15
-1.63 -10.29 3.4 23
17.03 2.69 4 16
17.03 2.69 4 16
-5.13 5.13 3.2 9
9.09 -12.52 3.9 0
-37.81 -12.28 5.9 0
-22.06 -11.24 4.6 0
7.16 1.13 3.2 24
-9.54 -29.38 5.2 8
1.22 0.62 2.6 250
-15.73 21.65 4.8 -1
-11.24 22.06 4.6 8
0 22.81 4.5 10
29.77 29.77 6.1 0
18.15 24.99 5.2 6
36.01 26.16 6.3 0
-10.29 -1.63 3.4 27
7.37 -7.37 3.4 3
-17.01 -33.38 5.7 7
-24.46 3.87 4.6 15
-22.81 0 4.5 0
2.72 -8.38 3.3 8
1.22 0.62 2.6 250
-13.75 42.33 6.3 0
11.24 -22.06 4.6 5
-7.16 -1.13 3.2 30
-9.54 29.38 5.2 7
-13.07 25.66 5 0
2.65 0.86 2.8 0
10.29 1.63 3.4 13
8.38 2.72 3.3 0
10.29 1.63 3.4 13
14.72 4.78 3.9 0
33.38 17.01 5.7 -1
6.46 3.29 3.2 3
23.35 23.35 5.3 2
37.52 19.11 6.1 3
29.38 9.54 5.2 4
25.45 8.26 4.8 1
29.38 9.54 5.2 4
23.35 23.35 5.3 2
22.06 11.24 4.6 6
20.36 20.36 5 0
0 26.76 4.8 0
-6.58 41.59 6.1 1
-9.49 18.63 4.3 -1
-8.26 -25.45 4.8 0
0 -35.22 5.5 -1
-9.54 -29.38 5.2 8
-18.46 -13.41 4.5 9
1.22 0.62 2.6 250
-18.63 -9.49 4.3 0
1.22 0.62 2.6 250
6.24 12.25 3.7 0
4.78 14.72 3.9 2
1.22 0.62 2.6 250
1.13 -7.16 3.2 15
1.22 0.62 2.6 250
-41.59 -6.58 6.1 -1
-28.44 -4.5 5 8
1.22 0.62 2.6 250
-5.13 5.13 3.2 9
24.46 3.87 4.6 11
-24.46 3.87 4.6 15
-17.01 -33.38 5.7 7
-39.76 0 5.9 0
-44.51 0 6.3 0
-5.13 -5.13 3.2 18
1.92 -3.77 2.9 3
-11.24 -22.06 4.6 0
-37 5.86 5.7 -1
7.16 1.13 3.2 24
1.22 0.62 2.6 250
-24.99 18.15 5.2 5
1.22 0.62 2.6 250
-9.54 -29.38 5.2 8
-17.03 -2.69 4 0
-24.46 3.87 4.6 15
1.22 0.62 2.6 250
1.22 0.62 2.6 250
-28.49 20.7 5.5 0
15.36 7.83 4 0
3.87 -24.46 4.6 3
1.22 0.62 2.6 250
12.25 -6.24 3.7 12
5.89 -18.12 4.2 9
-37 -5.86 5.7 0
-4.78 14.72 3.9 0
1.22 0.62 2.6 250
-18.15 24.99 5.2 1
2.65 0.86 2.8 0
-11.47 3.72 3.6 0
-28.44 4.5 5 0
10.29 1.63 3.4 13
-8.14 51.41 6.9 1
1.22 0.62 2.6 250
-25.45 -8.26 4.8 9
-39.76 0 5.9 0
-33.5 -10.88 5.5 4
6.46 3.29 3.2 3
-18.46 -13.41 4.5 9
-20.36 -20.36 5 -1
-37.81 -12.28 5.9 0
-5.89 18.12 4.2 0
-10.88 33.5 5.5 -2
-9.49 18.63 4.3 -1
1.22 0.62 2.6 250
10.29 1.63 3.4 13
-21.7 7.05 4.5 0
-2.15 13.58 3.7 1
-26.49 -26.49 5.7 -1
-23.35 -23.35 5.3 -1
-20.7 28.49 5.5 0
-9.49 18.63 4.3 -1
-7.09 -9.76 3.6 2
-11.24 22.06 4.6 8
-25.45 -8.26 4.8 9
32.16 23.37 5.9 0
37.52 19.11 6.1 3
-29.43 -14.99 5.3 9
1.92 -3.77 2.9 3
4.78 -14.72 3.9 0
-15.73 21.65 4.8 -1
-2.99 2.99 2.9 30
14.99 29.43 5.3 1
-1.13 7.16 3.2 9
10.88 -33.5 5.5 0
-4.5 -28.44 5 3
1.22 0.62 2.6 250
-29.43 -14.99 5.3 9
-5.16 -32.619 5.3 0
-26.49 26.49 5.7 1
-15.73 -21.65 4.8 0
-13.58 2.15 3.7 19
24.46 3.87 4.6 11
24.46 3.87 4.6 11
-17.51 17.51 4.6 0
-16.89 52 7.1 0
7.13 5.18 3.3 40
7.13 5.18 3.3 40
26.49 26.49 5.7 1
8.38 2.72 3.3 0
-5.13 -5.13 3.2 18
-3.36 -4.63 3 0
-14.72 4.78 3.9 0
1.36 0.21 2.6 0
2.65 0.86 2.8 0
-22.06 -11.24 4.6 0
1.22 0.62 2.6 250
6.46 -3.29 3.2 3
7.16 1.13 3.2 24
5.89 -18.12 4.2 9
-29.77 -29.77 6.1 0
-9.76 -7.09 3.6 0
-37 -5.86 5.7 0
-3.72 -11.47 3.6 0
-26.16 -36.01 6.3 0
-33.38 -17.01 5.7 0
-37 5.86 5.7 -1
6.46 -3.29 3.2 3
1.22 0.62 2.6 250
7.13 5.18 3.3 40
