x y radius usage
4.5 28.44 5 0
1.22 0.62 2.6 106
16.767 -3.75 3.4 0
16.766 -3.75 3.4 0
18.63 -9.49 4.3 0
5.16 32.619 5.3 -5
1.22 0.62 2.6 106
-7.16 -1.13 3.2 24
-5.72 0 3 0
-4.19 0.66 2.9 12
9.76 7.09 3.6 0
-13.75 42.33 6.3 0
-10.29 -1.63 3.4 18
1.22 0.62 2.6 106
1.22 0.62 2.6 106
19.06 0 4.2 2
-13.41 18.46 4.5 0
-10.29 -1.63 3.4 18
1.22 0.62 2.6 106
-7.16 -1.13 3.2 24
21.7 7.05 4.5 3
1.22 0.62 2.6 106
-8.26 25.45 4.8 0
-37 -5.86 5.7 0
1.22 0.62 2.6 106
-35.22 0 5.5 0
1.22 0.62 2.6 106
-7.16 -1.13 3.2 24
-13.41 -18.46 4.5 9
-25.66 -13.07 5 5
-3.27 -20.66 4.3 4
-15.42 -11.2 4.2 7
-6.24 12.25 3.7 6
1.22 0.62 2.6 106
14.99 29.43 5.3 0
13.07 25.66 5 0
-3.36 4.63 3 20
-1.13 7.16 3.2 3
1.22 0.62 2.6 106
-3.36 4.63 3 20
17.03 2.69 4 14
-1.13 7.16 3.2 3
0 30.89 5.2 -2
19.06 0 4.2 2
-12.28 37.81 5.9 -1
-15.47 0 3.9 11
1.22 0.62 2.6 106
19.06 0 4.2 2
17.51 17.51 4.6 -1
15.73 21.65 4.8 0
-28.44 -4.5 5 3
1.22 0.62 2.6 106
2.99 -2.99 2.9 6
1.22 0.62 2.6 106
17.03 2.69 4 14
1.22 0.62 2.6 106
-4.19 0.66 2.9 12
12.52 9.09 3.9 0
-7.16 -1.13 3.2 24
17.03 2.69 4 14
-7.16 -1.13 3.2 24
-5.16 32.619 5.3 1
1.22 0.62 2.6 106
21.7 7.05 4.5 3
11.2 -15.42 4.2 0
1.13 -7.16 3.2 9
3.87 -24.46 4.6 0
13.41 -18.46 4.5 1
-2.15 13.58 3.7 0
-1.63 -10.29 3.4 14
0 22.81 4.5 5
-3.27 20.66 4.3 0
-9.49 -18.63 4.3 0
-8.38 2.72 3.3 0
-3.77 -1.92 2.9 6
-7.05 -21.7 4.5 -1
26.76 0 4.8 -1
29.43 14.99 5.3 1
7.16 1.13 3.2 9
7.13 5.18 3.3 26
0 5.72 3 3
1.77 5.44 3 0
1.13 -7.16 3.2 9
-24.99 -18.15 5.2 6
-37.52 -19.11 6.1 0
1.22 0.62 2.6 106
-41.85 -21.32 6.5 0
-13.41 -18.46 4.5 9
-13.58 2.15 3.7 11
2.99 -2.99 2.9 6
-25.45 -8.26 4.8 4
5.89 -18.12 4.2 1
1.22 0.62 2.6 106
12.06 0 3.6 5
0 -2.79 2.8 0
1.22 0.62 2.6 106
12.25 -6.24 3.7 3
-29.43 -14.99 5.3 1
24.46 3.87 4.6 5
20.7 -28.49 5.5 1
12.25 -6.24 3.7 3
1.22 0.62 2.6 106
24.46 3.87 4.6 5
20.66 3.27 4.3 3
1.22 0.62 2.6 106
24.46 3.87 4.6 5
-4.19 0.66 2.9 12
-18.12 5.89 4.2 2
-18.63 9.49 4.3 0
-1.63 -10.29 3.4 14
7.37 -7.37 3.4 0
1.22 0.62 2.6 106
-11.2 15.42 4.2 6
7.13 -5.18 3.3 0
1.22 0.62 2.6 106
0 5.72 3 3
-12.52 9.09 3.9 0
1.22 0.62 2.6 106
1.22 0.62 2.6 106
-7.83 -15.36 4 -1
17.03 2.69 4 14
1.22 0.62 2.6 106
-13.58 2.15 3.7 11
-9.49 18.63 4.3 0
0 -15.47 3.9 6
-24.99 -18.15 5.2 6
7.13 5.18 3.3 26
1.22 0.62 2.6 106
-17.51 17.51 4.6 1
1.22 0.62 2.6 106
1.13 -7.16 3.2 9
-23.35 -23.35 5.3 -1
-7.37 7.37 3.4 8
1.22 0.62 2.6 106
3.29 -6.46 3.2 0
-11.47 3.72 3.6 0
2.72 -8.38 3.3 2
1.22 0.62 2.6 106
17.03 2.69 4 14
13.58 2.15 3.7 0
17.03 2.69 4 14
-13.41 -18.46 4.5 9
-4.19 -0.66 2.9 0
1.22 0.62 2.6 106
0 -8.81 3.3 6
-17.03 -2.69 4 0
7.13 5.18 3.3 26
1.22 -0.62 2.6 0
1.22 0.62 2.6 106
1.22 0.62 2.6 106
24.99 18.15 5.2 0
10.29 1.63 3.4 6
-15.42 -11.2 4.2 7
-18.46 -13.41 4.5 7
-20.36 -20.36 5 -1
1.22 0.62 2.6 106
-17.51 -17.51 4.6 3
-15.42 -11.2 4.2 7
-24.46 3.87 4.6 1
-18.12 5.89 4.2 2
-5.13 -5.13 3.2 6
-33.5 -10.88 5.5 0
3.72 -11.47 3.6 4
11.24 -22.06 4.6 0
-30.89 0 5.2 0
-19.06 0 4.2 4
-28.44 -4.5 5 3
1.22 0.62 2.6 106
-4.5 28.44 5 11
0 26.76 4.8 0
1.22 0.62 2.6 106
-14.99 -29.43 5.3 0
-5.13 -5.13 3.2 6
-32.16 -23.37 5.9 0
3.72 -11.47 3.6 4
2.69 17.03 4 4
4.78 14.72 3.9 2
-23.35 23.35 5.3 0
1.22 0.62 2.6 106
-6.58 41.59 6.1 1
17.51 17.51 4.6 -1
29.38 9.54 5.2 2
32.619 5.16 5.3 0
29.38 9.54 5.2 2
1.22 0.62 2.6 106
1.22 0.62 2.6 106
-32.619 5.16 5.3 0
-28.44 -4.5 5 3
4.5 -28.44 5 9
-26.49 -26.49 5.7 0
-37 5.86 5.7 0
7.16 1.13 3.2 9
1.22 0.62 2.6 106
30.89 0 5.2 0
25.45 8.26 4.8 1
-2.99 2.99 2.9 15
-29.43 -14.99 5.3 1
-1.92 3.77 2.9 0
-0.66 4.19 2.9 0
-5.13 5.13 3.2 3
-7.83 -15.36 4 -1
-2.69 17.03 4 0
10.29 1.63 3.4 6
10.29 1.63 3.4 6
-4.5 28.44 5 11
0 -15.47 3.9 6
-2.15 13.58 3.7 0
0 15.47 3.9 0
-11.2 15.42 4.2 6
20.66 3.27 4.3 3
-9.54 29.38 5.2 1
0 22.81 4.5 5
1.22 0.62 2.6 106
0 -15.47 3.9 6
-37 5.86 5.7 0
-32.619 5.16 5.3 0
-25.45 -8.26 4.8 4
0 -8.81 3.3 6
6.24 -12.25 3.7 0
12.52 -9.09 3.9 0
9.49 -18.63 4.3 1
-7.16 -1.13 3.2 24
-9.72 -9.72 3.7 1
1.22 0.62 2.6 106
-4.19 0.66 2.9 12
-22.81 0 4.5 0
0 -26.76 4.8 0
-20.66 3.27 4.3 0
0 -8.81 3.3 6
-17.51 17.51 4.6 1
-3.27 20.66 4.3 0
-14.79 14.79 4.3 0
-24.99 18.15 5.2 0
1.22 0.62 2.6 106
-3.36 -4.63 3 0
-28.49 20.7 5.5 0
-12.52 -9.09 3.9 0
4.5 -28.44 5 9
-1.63 -10.29 3.4 14
17.03 2.69 4 14
17.03 2.69 4 14
-5.13 5.13 3.2 3
